TRDTYPE,USASTATE,YEAR,MONTH,month_seq,COUNTRY,DISAGMOT,impact,VALUE
2.0,56,2010,6,0,2.0,1.0,15444505.0,1522157.0
1.0,2,2010,7,1,1.0,2.0,1287007.0,462859.0
1.0,2,2010,7,1,1.0,1.0,1287007.0,23438246.0
2.0,2,2010,7,1,1.0,2.0,1287007.0,1978752.0
2.0,2,2010,7,1,1.0,1.0,1287007.0,21461386.0
1.0,2,2010,7,1,2.0,2.0,1287007.0,234363.0
1.0,2,2010,7,1,2.0,1.0,1287007.0,721364.0
2.0,2,2010,7,1,2.0,2.0,1287007.0,256128.0
1.0,1,2010,7,1,1.0,2.0,3970250.0,4528342.0
1.0,1,2010,7,1,1.0,1.0,3970250.0,188938981.0
2.0,1,2010,7,1,1.0,2.0,3970250.0,4352275.0
